Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	AveragingTime	Concentration	UnitOfMeasurement	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.02	µg/m3	2013-01-01 00:00:00	2013-02-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0	µg/m3	2013-02-01 00:00:00	2013-03-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.02	µg/m3	2013-03-01 00:00:00	2013-04-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.01	µg/m3	2013-04-01 00:00:00	2013-05-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.05	µg/m3	2013-05-01 00:00:00	2013-06-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.02	µg/m3	2013-06-01 00:00:00	2013-07-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.02	µg/m3	2013-07-01 00:00:00	2013-08-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.01	µg/m3	2013-08-01 00:00:00	2013-09-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.02	µg/m3	2013-09-01 00:00:00	2013-10-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.03	µg/m3	2013-10-01 00:00:00	2013-11-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.08	µg/m3	2013-11-01 00:00:00	2013-12-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.02	µg/m3	2013-12-01 00:00:00	2014-01-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.03	µg/m3	2014-01-01 00:00:00	2014-02-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.02	µg/m3	2014-02-01 00:00:00	2014-03-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.01	µg/m3	2014-03-01 00:00:00	2014-04-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.01	µg/m3	2014-04-01 00:00:00	2014-05-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.11	µg/m3	2014-05-01 00:00:00	2014-06-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.06	µg/m3	2014-06-01 00:00:00	2014-07-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.08	µg/m3	2014-07-01 00:00:00	2014-08-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0	µg/m3	2014-08-01 00:00:00	2014-09-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0	µg/m3	2014-09-01 00:00:00	2014-10-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.01	µg/m3	2014-10-01 00:00:00	2014-11-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	month	0.01	µg/m3	2014-11-01 00:00:00	2014-12-01 00:00:00	1	1
