Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	AveragingTime	Concentration	UnitOfMeasurement	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.71	µg/m3	2013-01-01 00:00:00	2013-02-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.14	µg/m3	2013-02-01 00:00:00	2013-03-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.04	µg/m3	2013-03-01 00:00:00	2013-04-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.32	µg/m3	2013-04-01 00:00:00	2013-05-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.29	µg/m3	2013-05-01 00:00:00	2013-06-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.41	µg/m3	2013-06-01 00:00:00	2013-07-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.35	µg/m3	2013-07-01 00:00:00	2013-08-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.17	µg/m3	2013-08-01 00:00:00	2013-09-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.22	µg/m3	2013-09-01 00:00:00	2013-10-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	month	0.51	µg/m3	2013-10-01 00:00:00	2013-11-01 00:00:00	3	1
